,tid,sid,latitude,longitude,time,wind,label
0,1374,1,28.4,-67.0,2005-09-05 18:00:00,30,LOW_INTENSITY
1,1374,1,28.4,-66.6,2005-09-06 00:00:00,35,LOW_INTENSITY
29,1375,1,25.8,-78.6,2005-09-06 06:00:00,25,LOW_INTENSITY
3,1374,1,28.5,-66.5,2005-09-06 12:00:00,50,LOW_INTENSITY
31,1375,1,26.8,-78.3,2005-09-06 18:00:00,25,LOW_INTENSITY
32,1375,1,27.4,-78.5,2005-09-07 00:00:00,30,LOW_INTENSITY
6,1374,1,28.7,-66.3,2005-09-07 06:00:00,60,LOW_INTENSITY
34,1375,1,28.7,-79.2,2005-09-07 12:00:00,40,LOW_INTENSITY
35,1375,1,28.8,-79.3,2005-09-07 18:00:00,45,LOW_INTENSITY
9,1374,2,29.6,-65.7,2005-09-08 00:00:00,75,HIGH_INTENSITY
37,1375,1,28.7,-79.6,2005-09-08 06:00:00,50,LOW_INTENSITY
11,1374,2,30.5,-63.8,2005-09-08 12:00:00,75,HIGH_INTENSITY
12,1374,2,31.4,-62.7,2005-09-08 18:00:00,75,HIGH_INTENSITY
13,1374,2,32.6,-61.1,2005-09-09 00:00:00,80,HIGH_INTENSITY
14,1374,2,33.4,-59.1,2005-09-09 06:00:00,70,HIGH_INTENSITY
15,1374,2,34.0,-55.8,2005-09-09 12:00:00,65,HIGH_INTENSITY
16,1374,3,34.5,-53.4,2005-09-09 18:00:00,55,LOW_INTENSITY
44,1375,5,30.2,-77.5,2005-09-10 00:00:00,60,LOW_INTENSITY
18,1374,3,34.6,-49.0,2005-09-10 06:00:00,45,LOW_INTENSITY
19,1374,3,34.5,-45.9,2005-09-10 12:00:00,45,LOW_INTENSITY
20,1374,3,34.9,-44.1,2005-09-10 18:00:00,45,LOW_INTENSITY
21,1374,3,35.2,-42.1,2005-09-11 00:00:00,40,LOW_INTENSITY
22,1374,3,36.0,-40.6,2005-09-11 06:00:00,40,LOW_INTENSITY
50,1375,6,31.6,-75.7,2005-09-11 12:00:00,70,HIGH_INTENSITY
51,1375,6,31.4,-75.9,2005-09-11 18:00:00,65,HIGH_INTENSITY
52,1375,7,31.2,-76.2,2005-09-12 00:00:00,60,LOW_INTENSITY
53,1375,7,31.2,-76.6,2005-09-12 06:00:00,60,LOW_INTENSITY
54,1375,7,31.5,-76.9,2005-09-12 12:00:00,55,LOW_INTENSITY
28,1374,3,46.0,-25.0,2005-09-12 18:00:00,35,LOW_INTENSITY
56,1375,7,31.8,-77.7,2005-09-13 00:00:00,60,LOW_INTENSITY
57,1375,7,31.9,-77.9,2005-09-13 06:00:00,60,LOW_INTENSITY
58,1375,7,32.1,-78.0,2005-09-13 12:00:00,60,LOW_INTENSITY
59,1375,7,32.3,-78.1,2005-09-13 18:00:00,60,LOW_INTENSITY
60,1375,8,32.6,-78.1,2005-09-14 00:00:00,65,HIGH_INTENSITY
61,1375,8,32.9,-78.0,2005-09-14 06:00:00,70,HIGH_INTENSITY
62,1375,8,33.4,-77.7,2005-09-14 12:00:00,75,HIGH_INTENSITY
63,1375,8,33.9,-77.5,2005-09-14 18:00:00,75,HIGH_INTENSITY
64,1375,8,34.2,-76.9,2005-09-15 00:00:00,75,HIGH_INTENSITY
65,1375,8,34.5,-76.3,2005-09-15 06:00:00,70,HIGH_INTENSITY
66,1375,8,34.7,-75.8,2005-09-15 12:00:00,65,HIGH_INTENSITY
