,tid,sid,latitude,longitude,time,wind,label
0,1374,1,28.4,-67.0,2005-09-05 18:00:00,30,LOW_INTENSITY
1,1374,1,28.4,-66.6,2005-09-06 00:00:00,35,LOW_INTENSITY
29,1375,1,25.8,-78.6,2005-09-06 06:00:00,25,LOW_INTENSITY
2,1374,1,28.5,-66.5,2005-09-06 06:00:00,40,LOW_INTENSITY
3,1374,1,28.5,-66.5,2005-09-06 12:00:00,50,LOW_INTENSITY
30,1375,1,26.3,-78.3,2005-09-06 12:00:00,25,LOW_INTENSITY
31,1375,1,26.8,-78.3,2005-09-06 18:00:00,25,LOW_INTENSITY
4,1374,1,28.6,-66.4,2005-09-06 18:00:00,50,LOW_INTENSITY
32,1375,1,27.4,-78.5,2005-09-07 00:00:00,30,LOW_INTENSITY
5,1374,1,28.7,-66.3,2005-09-07 00:00:00,55,LOW_INTENSITY
6,1374,1,28.7,-66.3,2005-09-07 06:00:00,60,LOW_INTENSITY
33,1375,1,27.9,-78.8,2005-09-07 06:00:00,35,LOW_INTENSITY
34,1375,1,28.7,-79.2,2005-09-07 12:00:00,40,LOW_INTENSITY
7,1374,2,28.9,-66.2,2005-09-07 12:00:00,65,HIGH_INTENSITY
35,1375,1,28.8,-79.3,2005-09-07 18:00:00,45,LOW_INTENSITY
8,1374,2,29.3,-66.0,2005-09-07 18:00:00,70,HIGH_INTENSITY
9,1374,2,29.6,-65.7,2005-09-08 00:00:00,75,HIGH_INTENSITY
36,1375,1,28.8,-79.3,2005-09-08 00:00:00,45,LOW_INTENSITY
37,1375,1,28.7,-79.6,2005-09-08 06:00:00,50,LOW_INTENSITY
10,1374,2,30.0,-65.0,2005-09-08 06:00:00,75,HIGH_INTENSITY
11,1374,2,30.5,-63.8,2005-09-08 12:00:00,75,HIGH_INTENSITY
38,1375,1,28.6,-79.6,2005-09-08 12:00:00,55,LOW_INTENSITY
12,1374,2,31.4,-62.7,2005-09-08 18:00:00,75,HIGH_INTENSITY
39,1375,1,28.6,-79.5,2005-09-08 18:00:00,60,LOW_INTENSITY
13,1374,2,32.6,-61.1,2005-09-09 00:00:00,80,HIGH_INTENSITY
40,1375,2,28.6,-79.3,2005-09-09 00:00:00,65,HIGH_INTENSITY
14,1374,2,33.4,-59.1,2005-09-09 06:00:00,70,HIGH_INTENSITY
41,1375,3,28.9,-79.3,2005-09-09 06:00:00,55,LOW_INTENSITY
15,1374,2,34.0,-55.8,2005-09-09 12:00:00,65,HIGH_INTENSITY
42,1375,3,29.3,-79.1,2005-09-09 12:00:00,55,LOW_INTENSITY
16,1374,3,34.5,-53.4,2005-09-09 18:00:00,55,LOW_INTENSITY
43,1375,4,29.8,-78.5,2005-09-09 18:00:00,65,HIGH_INTENSITY
44,1375,5,30.2,-77.5,2005-09-10 00:00:00,60,LOW_INTENSITY
17,1374,3,34.7,-50.8,2005-09-10 00:00:00,55,LOW_INTENSITY
18,1374,3,34.6,-49.0,2005-09-10 06:00:00,45,LOW_INTENSITY
45,1375,5,30.9,-76.9,2005-09-10 06:00:00,60,LOW_INTENSITY
19,1374,3,34.5,-45.9,2005-09-10 12:00:00,45,LOW_INTENSITY
46,1375,6,31.5,-76.6,2005-09-10 12:00:00,65,HIGH_INTENSITY
20,1374,3,34.9,-44.1,2005-09-10 18:00:00,45,LOW_INTENSITY
47,1375,6,31.7,-76.2,2005-09-10 18:00:00,70,HIGH_INTENSITY
